Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,10476884,Epikt,"2023-06-12 23:49:24",1.33429,70,epiktistes
2,10479110,"Emincan Yilmaz","2023-06-12 19:41:56",1.33510,52,emincanyilmaz
3,10476706,"Ravi Ramakrishnan","2023-06-12 21:22:33",1.33513,56,ravi20076
4,10478278,"Jimin Wang","2023-06-12 00:51:22",1.33523,48,jimmy987654
5,10476717,"Oscar Aguilar","2023-06-11 01:29:18",1.33576,31,oscarm524
6,10484799,"TANUJ TANEJA","2023-06-12 13:55:39",1.33589,38,tanujtaneja
7,10480347,"Chris X","2023-06-11 08:16:07",1.33591,13,docxian
8,10491338,xiaohu2200,"2023-06-12 05:08:30",1.33599,32,xiaohu2200
9,10541096,zzoo2200,"2023-06-12 10:24:51",1.33606,5,zzoo2200
10,10482499,"Wendyellé Abubakrh Alban NYANTUDRE","2023-06-11 15:57:36",1.33611,19,waalbannyantudre
11,10481688,"Mykhailo Savchenko","2023-06-12 19:35:51",1.33616,25,shalfey
12,10480077,"Tolga Işık","2023-06-09 14:04:28",1.33616,33,tolgaik
13,10496960,"Rikith Reddy","2023-06-09 15:57:06",1.33616,14,rikithreddy
14,10480845,evancallaghan,"2023-06-11 02:23:03",1.33619,30,evancallaghan
15,10479710,bachpc,"2023-05-31 16:15:03",1.33634,5,bachphamcong
16,10478135,"Abhijeetsingh Meena","2023-06-11 18:02:16",1.33639,31,abhijeetsinghmeena
17,10492468,"Rounak Kumbhakar","2023-06-12 04:36:27",1.33639,47,rounakkumbhakar
18,10477309,"Dhruv Tiwari","2023-06-12 05:59:14",1.33647,21,dhruvtiwari
19,10505474,"Danila Lapokin","2023-06-10 20:58:58",1.33652,14,danilalapokin
20,10494864,"Thierry Neusius","2023-06-12 16:23:45",1.33665,11,thierryneusius
21,10503901,"Andre Nazareth","2023-06-04 09:31:43",1.33670,1,andrenazareth
22,10504020,kojimar,"2023-06-09 01:46:34",1.33670,7,kojimar
23,10504766,"Karthi Vijayakumaar","2023-06-04 13:51:01",1.33670,1,karthivijayakumaar
24,10488200,richsmalls,"2023-06-04 23:57:27",1.33670,8,richsmalls
25,10505833,"Ali Haider12","2023-06-05 21:00:59",1.33670,1,alihaider12
26,10498591,"Potato ML","2023-06-06 02:04:28",1.33670,2,eeeeee4563
27,10479186,JRPC,"2023-06-12 09:28:05",1.33670,4,juanricardop
28,10486648,hugocarpintero,"2023-06-09 15:08:59",1.33670,14,modeller
29,10544079,Zahid,"2023-06-12 18:59:26",1.33670,2,user014
30,10481658,Jenifar,"2023-06-11 12:32:51",1.33690,7,jenifar
31,10478275,"Mathurin Aché","2023-06-12 12:19:13",1.33697,12,mathurinache
32,10478863,KISSEL,"2023-06-12 06:47:33",1.33700,28,alekseyfomin
33,10486398,Gesock,"2023-06-12 16:59:44",1.33700,16,xiaomaustc
34,10504175,"ravi tanwar","2023-06-10 14:56:41",1.33700,5,ravijoe
35,10495918,Rei,"2023-06-10 23:07:33",1.33700,19,katsurakamui
36,10506043,"YANG ZHOU","2023-06-12 01:08:37",1.33700,7,yaaangzhou
37,10538630,"Chinmaya Y N","2023-06-11 17:22:40",1.33700,5,chinmayayn
38,10541983,"[Deleted] c9fad79d-f6e9-4466-901c-370742bb32e3","2023-06-12 11:55:41",1.33700,5,del=f3207ea5116f8c22
39,10544362,"[Deleted] c34fa206-4c81-416f-a84d-ae19aea6887d","2023-06-12 18:11:42",1.33700,5,del=013442ef6843b9b2
40,10480620,"Itachi Uchiha","2023-06-12 05:03:15",1.33703,46,arunklenin
41,10478959,"Tal Maimon","2023-06-12 22:00:32",1.33703,16,maimonator
42,10486712,Bhargav6031,"2023-06-12 13:57:34",1.33703,26,"bhargav6031,del=be1487e314ae2cd4"
43,10483182,gagandeep192001,"2023-06-04 07:00:38",1.33710,6,gagandeep192001
44,10504702,Zyyyy,"2023-06-11 13:40:30",1.33710,7,zyyyyl
45,10482064,Suraj520,"2023-06-12 09:15:39",1.33710,7,suraj520
46,10491383,"Marco Polo","2023-06-12 17:18:45",1.33713,12,zhesong1
